OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,x,y,Longitude,Latitude
3022,10000781,,800,St. Andrew Kim Korean Catholic Church,St. Andrew Kim Korean Catholic Church,11700 1ST AVE NE,98125.0,1272526.81214586,264250.992292523,-122.3278676663695,47.71464017321944
3023,10000782,,800,Jehovah's Witness Kingdom Hall,Jehovah's Witness Kingdom Hall,4409 SW COLLEGE ST,98116.0,1256706.05999477,216454.161049098,-122.38819891043734,47.58277227153259
3024,10000785,,800,Bothell United Methodist Church,United Methodist Church,18515 92ND AVE NE,98011.0,1299528.68137036,281187.299955264,-122.21943765802767,47.762447889057086
3025,10000786,,800,Korean Peace Presbyterian Church,Korean Peace Presbyterian Church,4040 NE 105TH ST,98125.0,1283295.93627685,260538.531869695,-122.28384491909951,47.705029279600474
3026,10000787,,800,Arabic Evangelical Church Meeting,Arabic Evangelical Church Meeting,13130 5TH AVE NE,98125.0,1273887.77858402,267923.365197107,-122.3226288693529,47.72477833905408
3027,10000788,,800,Epic Life Church,Epic Life Church,10510 STONE AVE N,98133.0,1269078.02278361,260920.451053351,-122.3416094868118,47.705326851043814
3028,10000789,,800,St. Thomas Orthodox Church,St. Thomas Orthodox Church,11651 SE 188TH ST,98058.0,1306132.31776936,161143.886499271,-122.18402563797535,47.43372438811515
3029,10000791,,800,Seattle Grace Presbyterian Church,Grace Presbyterian Church,616 NE 165TH ST,98155.0,1274284.27549444,276688.125226602,-122.32170689932275,47.748823245325646
3030,10000792,,800,Tabernacle Baptist Church,Tabernacle Baptist Church,16508 8TH AVE NE,98155.0,1274593.83688319,276694.327970102,-122.32044929447608,47.74885665217918
3031,10000794,,800,Enumclaw Church of Christ,Church of Christ,26007 SE 425TH ST,98022.0,1351821.94325344,82327.0103406906,-121.99463946051942,47.219722955395625
3032,10000795,,800,Broadview Community United Church of Christ,Community United Church,325 N 125TH ST,98133.0,1265980.81113027,266082.419075847,-122.35460066085707,47.719308417949954
3033,10000811,,800,Mount Baker Park Presbyterian Church,Presbyterian Church,3201 HUNTER BLVD S,98144.0,1282005.31484236,213129.096505016,-122.28545268612021,47.575013320931795
